PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_prevalence
23.3,49.7,47.3,51.9,9.1,12.6,14.9,3.8,3.5,4.1,13.7
20.9,46.7,44.0,49.2,8.2,11.9,14.2,3.5,3.2,3.8,13.1
14.8,47.0,44.9,49.1,6.6,11.2,13.1,2.9,2.7,3.1,12.2
12.5,46.9,44.9,48.7,7.1,10.4,12.0,3.0,2.8,3.2,11.2
27.6,48.0,46.0,49.8,7.7,11.7,13.4,3.4,3.2,3.6,12.5
10.9,23.9,22.6,25.1,4.2,8.2,9.4,2.3,2.2,2.5,8.8
33.6,46.1,44.3,47.8,8.4,14.6,16.4,3.9,3.6,4.1,15.5
14.0,40.4,37.8,42.9,6.9,9.3,11.3,3.1,2.8,3.4,10.3
6.6,39.3,37.2,41.4,5.6,9.7,11.6,2.7,2.5,2.9,10.7
29.4,48.3,46.4,50.2,6.9,13.3,15.3,3.8,3.5,4.1,14.3
27.2,42.7,40.8,44.6,7.0,11.0,12.7,3.3,3.1,3.5,11.9
16.3,51.0,48.6,53.2,8.9,12.9,15.1,3.3,3.1,3.6,14.0
12.9,48.6,45.9,51.1,8.0,11.0,13.3,3.3,3.0,3.6,12.2
26.0,52.2,50.2,54.3,9.6,13.5,15.9,3.6,3.4,3.9,14.7
11.9,42.4,40.0,44.6,7.2,10.2,12.2,3.1,2.9,3.4,11.2
32.6,41.9,39.4,44.4,8.1,11.2,13.4,3.6,3.3,3.9,12.3
16.4,46.3,44.0,48.6,7.7,12.0,14.1,3.2,3.0,3.5,13.0
22.2,37.5,36.1,39.0,5.7,10.7,12.2,3.2,3.0,3.4,11.4
8.0,29.9,28.2,31.7,4.6,6.7,7.9,2.5,2.4,2.7,7.3
30.4,48.8,47.2,50.4,7.4,13.5,15.0,3.6,3.4,3.8,14.2
40.6,49.4,47.6,51.2,8.3,15.1,17.0,3.9,3.7,4.2,16.0
30.5,52.1,50.2,53.9,8.7,14.5,16.4,3.8,3.6,4.1,15.5
31.5,47.1,45.0,48.9,8.8,14.1,16.0,3.9,3.6,4.2,15.1
